ID,Owner,Name,Position,Start,End,Salary
4399,Keyon,Jeff Reed,K,FA,2010,$1
12579,Patrick,Jeremy Maclin,WR,2010,2010,$55
3542,Trevor,Jeremy Shockey,TE,2010,2012,$2
9665,,Jerious Norwood,RB,FA,2010
13228,Keyon,Jermaine Gresham,TE,2010,2012,$4
11325,Patrick,Jermichael Finley,TE,2010,2010,$75
11244,John,Jerod Mayo,LB,FA,2010,$1
9731,Koci,Jerome Harrison,RB,2009,2011,$1
5633,Keyon,Jerricho Cotchery,WR,2008,2010,$36
13245,,Jerry Hughes,DL,FA,2010
9266,Patrick,Jim Leonhard,DB,FA,2010,$1
13198,John,Jimmy Clausen,QB,2010,2012,$6
13232,Jake/Luke,Jimmy Graham,TE,FA,2010,$1
4647,,Jimmy Wilkerson,DL,FA,2010
11252,Schexes,Joe Flacco,QB,2008,2010,$5
13249,Jake/Luke,Joe Haden,DB,2010,2012,$1
13209,Patrick,Joe McKnight,RB,2010,2012,$7
982,,Joe Nedney,K,FA,2010
13484,Koci,Joe Webb,QB,FA,2010,$6
8612,John,Joel Dreessen,TE,FA,2010,$3
751,,Joey Galloway,WR,FA,2010
1826,James,Joey Porter,LB,2010,2010,$4
2144,Keyon,John Abraham,DL,2009,2011,$2
11272,,John Carlson,TE,FA,2010
43,,John Carney,K,FA,2010
139,,John Kasay,K,FA,2010
9530,,John Kuhn,RB,FA,2010
13458,James,John Skelton,QB,2010,2012,$1
10543,,Johnnie Lee Higgins,WR,FA,2010
12678,Syed,Johnny Knox,WR,2010,2011,$35
10469,Keyon,Jon Beason,LB,2008,2010,$3
1383,,Jon Kitna,QB,FA,2010
13206,,Jonathan Dwyer,RB,FA,2010
11247,Schexes,Jonathan Stewart,RB,2008,2010,$26
5537,,Jonathan Vilma,LB,FA,2010
12594,Trevor,Jordan Shipley,WR,2010,2011,$8
11270,,Jordy Nelson,WR,FA,2010
9616,Daniel,Joseph Addai,RB,2009,2011,$85
9270,Trevor,Josh Cribbs,WR,2010,2010,$121
12473,Daniel,Josh Freeman,QB,2010,2012,$15
11394,,Josh Johnson,QB,FA,2010
11408,Koci,Josh Morgan,WR,FA,2010,$6
5662,,Josh Scobee,K,FA,2010
10499,,Josh Wilson,DB,FA,2010
12571,,Juaquin Iglesias,WR,FA,2010
12649,Jake/Luke,Julian Edelman,WR,2010,2011,$7
5568,,Julius Jones,RB,FA,2010
3530,Schexes,Julius Peppers,DL,2009,2011,$15
4554,,Justin Fargas,RB,FA,2010
11467,Syed,Justin Forsett,RB,2010,2011,$70
4601,Trevor,Justin Gage,WR,2010,2011,$1
8488,Patrick,Justin Tuck,DL,2009,2011,$6
13059,,Kareem Huggins,RB,FA,2010
5558,Keyon,Karlos Dansby,LB,2009,2011,$1
13727,Daniel,Keiland Williams,RB,2010,2010,$1
2161,,Keith Bulluck,LB,FA,2010
5531,Koci,Kellen Winslow,TE,FA,2010,$2
4523,,Kelley Washington,WR,FA,2010
12556,Patrick,Kenny Britt,WR,2009,2011,$6
734,,Kerry Collins,QB,FA,2010
8537,John,Kerry Rhodes,DB,FA,2010,$4
10596,Syed,Kevin Boss,TE,FA,2010,$1
4532,,Kevin Curtis,WR,FA,2010
1798,,Kevin Faulk,RB,FA,2010
10480,John,Kevin Kolb,QB,2010,2011,$39
12588,,Kevin Ogletree,WR,FA,2010
11298,Koci,Kevin Smith,RB,FA,2010,$11
4713,Daniel,Kevin Walter,WR,2010,2010,$15
8492,,Kirk Morrison,LB,FA,2010
12516,Trevor,Knowshon Moreno,RB,2009,2011,$28
13287,,Koa Misi,LB,FA,2010
1981,,Kris Brown,K,FA,2010
1682,,Kurt Warner,QB,FA,2010
8520,Keyon,Kyle Orton,QB,2010,2010,$7
2582,,Kyle Vanden Bosch,DL,FA,2010
4519,,L.J. Smith,TE,FA,2010
2553,Trevor,LaDainian Tomlinson,RB,2010,2010,$33
3584,,Ladell Betts,RB,FA,2010
13277,,Lamarr Houston,DL,FA,2010
