ID,Owner,Player,Position,Start,End,Salary
-1,Brett,Chop Robinson,DL/LB,2024,2025,$1
-1,Keyon,Chuba Hubbard,RB,2024,2024,$16
-1,Mitch,Clyde Edwards-Helaire,RB,2024,2024,$1
-1,Luke,Cole Bishop,DB,2024,2025,$1
-1,Quinn,Cole Kmet,TE,2023,2025,$6
-1,Brett,Cooper DeJean,DB,2024,2025,$1
-1,Jason,Cooper Kupp,WR,2024,2024,$90
-1,Jason,Cooper Rush,QB,2024,2025,$1
-1,Schexes,Cordarrelle Patterson,RB,2024,2025,$4
-1,Jason,Courtland Sutton,WR,2023,2025,$15
-1,Koci/Mueller,Curtis Samuel,WR,2022,2024,$2
-1,Mike,D'Andre Swift,RB,2023,2024,$40
-1,Jason,D'Onta Foreman,RB,2023,2025,$5
-1,Koci/Mueller,D'Shawn Jamison,DB,2024,2024,$1
-1,Koci/Mueller,Daequan Hardy,DB,2024,2024,$1
-1,Jason,Dak Prescott,QB,2023,2025,$225
-1,Quinn,Dallas Goedert,TE,2024,2024,$22
-1,Luke,Dallas Turner,DL/LB,2024,2026,$1
-1,Schexes,Dalton Kincaid,TE,2023,2025,$7
-1,Anthony,Dalton Schultz,TE,2024,2025,$11
-1,Patrick,Dameon Pierce,RB,2024,2026,$11
-1,Justin,Daniel Jones,QB,2022,2024,$60
-1,Anthony,Danielle Hunter,DL/LB,2024,2026,$2
-1,Quinn,Darius Slayton,WR,2023,2025,$3
-1,Jason,Darnell Mooney,WR,2023,2025,$2
-1,Mitch,Darnell Washington,TE,2023,2025,$1
-1,Patrick,Davante Adams,WR,2023,2025,$125
-1,Keyon,David Montgomery,RB,2023,2024,$57
-1,Keyon,David Njoku,TE,2023,2025,$8
-1,Keyon,De'Von Achane,RB,2023,2025,$13
-1,Quinn,De'Vondre Campbell,LB,2022,2024,$2
-1,Schexes,DeAndre Hopkins,WR,2022,2024,$52
-1,Schexes,Deebo Samuel,WR,2023,2025,$63
-1,Mike,Demarcus Robinson,WR,2024,2024,$2
-1,Keyon,Demario Douglas,WR,2023,2025,$1
-1,Anthony,Derek Carr,QB,2023,2024,$120
-1,Koci/Mueller,Derius Davis,WR,2024,2026,$1
-1,Luke,Derrick Henry,RB,2023,2024,$200
-1,Quinn,Derwin James,DB,2024,2026,$5
-1,Quinn,Deshaun Watson,QB,2024,2024,$75
-1,Quinn,Desmond Ridder,QB,2022,2024,$19
-1,Brett,Deuce Vaughn,RB,2023,2024,$4
-1,Luke,Devin Lloyd,LB,2022,2024,$1
-1,Brett,Devin Singletary,RB,2024,2024,$40
-1,Schexes,Devin White,LB,2023,2025,$11
-1,Mike,DeVonta Smith,WR,2024,2024,$99
-1,Mike,Devontez Walker,WR,2024,2026,$1
-1,Quinn,Diontae Johnson,WR,2024,2024,$34
-1,Patrick,DJ Chark,WR,2024,2026,$3
-1,Anthony,DJ Moore,WR,2023,2025,$90
-1,Jason,DK Metcalf,WR,2022,2024,$100
-1,Mitch,Dontayvion Wicks,WR,2023,2025,$1
-1,Keyon,Drake London,WR,2022,2024,$16
-1,Patrick,Drake Maye,QB,2024,2026,$40
-1,Justin,Dre Greenlaw,LB,2023,2025,$6
-1,Justin,Drew Lock,QB,2023,2025,$1
-1,Patrick,Drue Tranquill,LB,2024,2024,$1
-1,Jason,Dyami Brown,WR,2024,2026,$3
-1,Keyon,Dylan Laube,RB,2024,2026,$2
-1,Mitch,Edgerrin Cooper,LB,2024,2026,$1
-1,Anthony,Elijah Moore,WR,2024,2026,$5
-1,Mitch,Eric Gray,RB,2023,2025,$7
-1,Koci/Mueller,Eric Kendricks,LB,2024,2024,$1
-1,Mike,Erick All,TE,2024,2026,$1
-1,Keyon,Ernest Jones,LB,2024,2024,$8
-1,Anthony,Evan Engram,TE,2022,2024,$1
-1,Justin,Evan Hull,RB,2023,2025,$7
-1,Mike,Evan McPherson,K,2024,2026,$2
-1,Quinn,Ezekiel Elliott,RB,2023,2025,$16
-1,Schexes,Foyesade Oluokun,LB,2024,2024,$29
-1,Anthony,Frankie Luvu,LB,2023,2025,$2
-1,Jason,Fred Warner,LB,2023,2025,$10
-1,Justin,Gabe Davis,WR,2023,2025,$15
-1,Jason,Gardner Minshew,QB,2022,2024,$2
-1,Brett,Garrett Wilson,WR,2022,2024,$16
-1,Mike,Geno Smith,QB,2023,2025,$160
-1,Mitch,George Karlaftis,DL,2024,2026,$1
-1,Quinn,George Kittle,TE,2024,2024,$55
-1,Patrick,George Pickens,WR,2022,2024,$16
-1,Quinn,Greg Dortch,WR,2024,2026,$4
-1,Anthony,Greg Dulcich,TE,2022,2024,$1
-1,Luke,Greg Rousseau,DL,2023,2024,$1
-1,Patrick,Greg Zuerlein,K,2024,2024,$1
-1,Koci/Mueller,Gus Edwards,RB,2022,2024,$5
-1,Patrick,Haason Reddick,DL/LB,2024,2024,$1
-1,Patrick,Harold Landry,DL/LB,2024,2024,$1
-1,Mike,Harrison Butker,K,2024,2026,$1
-1,Justin,Hendon Hooker,QB,2023,2025,$8
-1,Luke,Hunter Henry,TE,2023,2024,$1
-1,Quinn,Isaac Guerendo,RB,2024,2026,$6
-1,Keyon,Isaiah Likely,TE,2024,2026,$7
-1,Luke,Isaiah Simmons,LB/DB,2023,2024,$1
-1,Mike,Isiah Pacheco,RB,2022,2024,$7
-1,Mitch,Ivan Pace,LB,2023,2025,$1
-1,Justin,J.J. McCarthy,QB,2024,2026,$20
-1,Brett,J.K. Dobbins,RB,2023,2024,$99
-1,Keyon,Ja'Lynn Polk,WR,2024,2026,$8
-1,Patrick,Ja'Marr Chase,WR,2024,2024,$230
-1,Patrick,Ja'Tavion Sanders,TE,2024,2026,$2
-1,Mitch,Jack Campbell,LB,2023,2025,$1
-1,Anthony,Jacob Cowing,WR,2024,2026,$2
-1,Patrick,Jacoby Brissett,QB,2022,2024,$26
-1,Mitch,Jaelan Phillips,DL/LB,2024,2026,$1
-1,Patrick,Jahan Dotson,WR,2024,2026,$16
-1,Mike,Jaheim Bell,TE,2024,2026,$1
-1,Koci/Mueller,Jahmyr Gibbs,RB,2023,2025,$25
-1,Mike,Jake Browning,QB,2024,2024,$3
-1,Luke,Jake Elliott,K,2023,2024,$2
-1,Keyon,Jake Ferguson,TE,2023,2025,$3
-1,Brett,Jake Haener,QB,2023,2024,$1
-1,Mitch,Jake Moody,K,2023,2025,$1
-1,Patrick,Jakobi Meyers,WR,2024,2026,$9
-1,Mike,Jaleel McLaughlin,RB,2023,2025,$1
-1,Luke,Jalen Carter,DL,2023,2025,$1
-1,Koci/Mueller,Jalen Hurts,QB,2024,2024,$363
-1,Justin,Jalen McMillan,WR,2024,2026,$2
-1,Quinn,Jalen Tolbert,WR,2024,2026,$4
-1,Justin,Jalin Hyatt,WR,2023,2025,$8
-1,Luke,Jamaal Williams,RB,2024,2024,$6
-1,Brett,Jamari Thrash,WR,2024,2025,$1
-1,Jason,Jameis Winston,QB,2023,2024,$1
-1,Anthony,James Conner,RB,2024,2025,$60
-1,Patrick,James Cook,RB,2022,2024,$25
-1,Mitch,Jameson Williams,WR,2022,2024,$8
-1,Justin,Jaquan Brisker,DB,2024,2026,$2
-1,Justin,Jared Goff,QB,2024,2026,$95
-1,Anthony,Jared Verse,DL,2024,2026,$1
-1,Brett,Jarrett Stidham,QB,2024,2024,$3
-1,Quinn,Jason Myers,K,2024,2024,$1
-1,Jason,Jason Sanders,K,2024,2026,$1
-1,Koci/Mueller,Javon Baker,WR,2024,2026,$2
-1,Mitch,Javon Bullard,DB,2024,2026,$1
-1,Quinn,Javonte Williams,RB,2024,2024,$65
-1,Luke,Jaxon Smith-Njigba,WR,2023,2025,$16
-1,Schexes,Jayden Daniels,QB,2024,2026,$40
-1,Patrick,Jayden Reed,WR,2023,2025,$16
-1,Justin,Jaylen Waddle,WR,2024,2026,$75
-1,Schexes,Jaylen Warren,RB,2023,2024,$37
-1,Justin,Jaylen Wright,RB,2024,2026,$12
-1,Brett,Jeremiah Owusu-Koramoah,LB,2024,2025,$1
-1,Brett,Jeremy Chinn,LB/DB,2023,2024,$2
-1,Justin,Jermaine Burton,WR,2024,2026,$4
-1,Jason,Jerome Ford,RB,2023,2025,$15
-1,Mitch,Jerry Jeudy,WR,2024,2025,$15
-1,Mike,Jessie Bates,DB,2024,2025,$4
-1,Mitch,Jevon Holland,DB,2024,2026,$2
-1,Mike,Joe Burrow,QB,2023,2024,$355
-1,Keyon,Joe Flacco,QB,2024,2024,$2
-1,Quinn,Joe Mixon,RB,2023,2024,$95
-1,Brett,Joey Porter,DB,2023,2024,$1
-1,Mike,Johnny Wilson,WR,2024,2026,$1
-1,Patrick,Jonathan Mingo,WR,2023,2025,$8
-1,Anthony,Jonathan Taylor,RB,2023,2024,$198
-1,Keyon,Jonathon Brooks,RB,2024,2026,$23
-1,Justin,Jonnu Smith,TE,2024,2026,$1
-1,Luke,Jordan Addison,WR,2023,2025,$16
-1,Patrick,Jordan Love,QB,2023,2024,$130
-1,Keyon,Jordan Mason,RB,2024,2025,$10
-1,Koci/Mueller,Jordan Travis,QB,2024,2026,$1
-1,Schexes,Jordan Whittington,WR,2024,2026,$1
-1,Luke,Jordyn Brooks,LB,2023,2024,$4
-1,Mitch,Josey Jewell,LB,2024,2024,$1
-1,Koci/Mueller,Josh Allen,QB,2024,2024,$365
-1,Jason,Josh Hines-Allen,DL/LB,2023,2025,$1
-1,Luke,Josh Downs,WR,2023,2025,$8
-1,Schexes,Josh Jacobs,RB,2024,2025,$155
-1,Jason,Josh Reynolds,WR,2024,2026,$1
-1,Mitch,Josh Whyle,TE,2024,2026,$1
-1,Keyon,Joshua Dobbs,QB,2024,2024,$3
-1,Justin,Joshua Kelley,RB,2023,2025,$8
-1,Mitch,Joshua Palmer,WR,2024,2025,$27
-1,Quinn,Julian Love,DB,2024,2026,$1
-1,Luke,Junior Colson,LB,2024,2026,$1
-1,Jason,Justice Hill,RB,2024,2026,$7
-1,Schexes,Justin Fields,QB,2024,2026,$40
-1,Mitch,Justin Herbert,QB,2024,2026,$165
-1,Anthony,Justin Jefferson,WR,2023,2024,$250
-1,Brett,Justin Tucker,K,2024,2024,$10
-1,Quinn,K.J. Osborn,WR,2023,2025,$9
-1,Anthony,Ka'imi Fairbairn,K,2024,2026,$1
-1,Jason,Kamren Curl,DB,2024,2026,$1
-1,Schexes,Kayvon Thibodeaux,DL/LB,2022,2024,$1
-1,Anthony,Keaontay Ingram,RB,2022,2024,$7
-1,Schexes,Keaton Mitchell,RB,2023,2025,$1
-1,Mitch,Keenan Allen,WR,2024,2025,$38
-1,Anthony,Keilan Robinson,RB,2024,2026,$3
-1,Schexes,Keisean Nixon,DB,2024,2025,$12
-1,Koci/Mueller,Kene Nwangwu,RB,2024,2024,$1
-1,Anthony,Kendre Miller,RB,2023,2025,$13
-1,Anthony,Kenneth Gainwell,RB,2024,2026,$3
-1,Justin,Kenneth Walker,RB,2022,2024,$25
-1,Koci/Mueller,Kenny Pickett,QB,2024,2026,$1
-1,Brett,Keon Coleman,WR,2024,2026,$8
-1,Patrick,Kevin Byard,DB,2024,2024,$1
-1,Mitch,Khalil Herbert,RB,2024,2026,$8
-1,Schexes,Khalil Mack,DL/LB,2024,2024,$10
-1,Schexes,Khalil Shakir,WR,2024,2026,$17
-1,Koci/Mueller,Kimani Vidal,RB,2024,2026,$12
-1,Quinn,Kirk Cousins,QB,2024,2024,$125
-1,Brett,Kool-Aid McKinstry,DB,2024,2025,$1
-1,Mike,Kyle Dugger,DB,2024,2024,$1
-1,Luke,Kyle Hamilton,DB,2022,2024,$1
-1,Koci/Mueller,Kyle Pitts,TE,2024,2026,$45
-1,Luke,Kyler Murray,QB,2023,2025,$125
-1,Jason,Kyren Williams,RB,2023,2025,$6
-1,Keyon,Kyzir White,LB,2024,2024,$1
-1,Anthony,L'Jarius Sneed,DB,2023,2025,$1
-1,Luke,Ladd McConkey,WR,2024,2026,$8
-1,Anthony,Laiatu Latu,DL,2024,2026,$1
-1,Luke,Lamar Jackson,QB,2023,2025,$275
-1,Keyon,Lavonte David,LB,2024,2024,$9
-1,Mike,Logan Wilson,LB,2023,2025,$5
-1,Mitch,Lukas Van Ness,DL,2024,2026,$1
-1,Luke,Luke McCaffrey,WR,2024,2026,$4
-1,Mitch,Luke Musgrave,TE,2024,2026,$10
-1,Patrick,Malachi Corley,WR,2024,2026,$4
-1,Koci/Mueller,Malik Davis,RB,2024,2024,$1
-1,Schexes,Malik Nabers,WR,2024,2026,$16
-1,Koci/Mueller,Malik Washington,WR,2024,2026,$1
-1,Patrick,Mark Andrews,TE,2024,2024,$65
-1,Anthony,Hollywood Brown,WR,2022,2024,$45
-1,Justin,MarShawn Lloyd,RB,2024,2026,$12
-1,Luke,Marvin Harrison,WR,2024,2026,$16
-1,Koci/Mueller,Marvin Mims,WR,2023,2025,$8
-1,Quinn,Matthew Stafford,QB,2024,2024,$75
-1,Koci/Mueller,Maxx Crosby,DL,2023,2025,$9
-1,Quinn,Mecole Hardman,WR,2022,2024,$4
-1,Quinn,Micah Parsons,DL/LB,2024,2025,$15
-1,Quinn,Michael Carter,RB,2023,2025,$3
-1,Mike,Michael Gallup,WR,2023,2025,$4
-1,Luke,Michael Mayer,TE,2023,2025,$7
-1,Luke,Michael Penix,QB,2024,2026,$40
-1,Keyon,Michael Pittman,WR,2023,2025,$40
-1,Jason,Michael Wilson,WR,2023,2025,$4
-1,Brett,Mike Evans,WR,2023,2024,$45
-1,Patrick,Mike Gesicki,TE,2023,2025,$1
-1,Justin,Mike White,QB,2023,2024,$2
-1,Brett,Mike Williams,WR,2023,2025,$38
-1,Mitch,Miles Sanders,RB,2024,2024,$2
-1,Jason,Minkah Fitzpatrick,DB,2023,2024,$5
-1,Koci/Mueller,Mitchell Trubisky,QB,2023,2025,$1
-1,Brett,Montez Sweat,DL,2024,2024,$6
-1,Jason,Myles Garrett,DL,2023,2025,$1
-1,Luke,Najee Harris,RB,2024,2024,$145
-1,Koci/Mueller,Nick Bolton,LB,2024,2026,$3
-1,Schexes,Nick Bosa,DL,2024,2026,$1
-1,Jason,Nick Chubb,RB,2024,2026,$80
-1,Mitch,Nick Mullens,QB,2024,2024,$1
-1,Keyon,Nico Collins,WR,2024,2026,$85
-1,Quinn,Nyheim Hines,RB,2023,2025,$1
-1,Brett,Pat Freiermuth,TE,2024,2024,$10
-1,Patrick,Patrick Mahomes,QB,2024,2024,$350
-1,Mitch,Patrick Queen,LB,2024,2026,$3
-1,Luke,Payton Wilson,LB,2024,2024,$1
-1,Mike,Pete Werner,LB,2023,2025,$1
-1,Koci/Mueller,Puka Nacua,WR,2023,2025,$2
-1,Mike,Quay Walker,LB,2022,2024,$1
-1,Brett,Quentin Johnston,WR,2023,2025,$16
-1,Patrick,Quincy Williams,LB,2024,2024,$3
-1,Anthony,Quinyon Mitchell,DB,2024,2026,$1
-1,Patrick,Rachaad White,RB,2022,2024,$13
-1,Schexes,Raheem Mostert,RB,2024,2024,$58
-1,Koci/Mueller,Rashee Rice,WR,2023,2025,$16
-1,Patrick,Rasheen Ali,RB,2024,2026,$6
-1,Schexes,Rashid Shaheed,WR,2023,2025,$11
-1,Jason,Rashod Bateman,WR,2024,2026,$4
-1,Brett,Ray Davis,RB,2024,2025,$6
-1,Jason,Ray-Ray McCloud,WR,2024,2026,$3
-1,Koci/Mueller,Reed Blankenship,DB,2024,2026,$1
-1,Brett,Rhamondre Stevenson,RB,2024,2024,$80
-1,Patrick,Ricky Pearsall,WR,2024,2026,$8
-1,Keyon,Rico Dowdle,RB,2023,2024,$10
-1,Jason,Robert Spillane,LB,2024,2026,$3
-1,Luke,Roman Wilson,WR,2024,2025,$2
-1,Keyon,Rome Odunze,WR,2024,2026,$16
-1,Jason,Romeo Doubs,WR,2022,2024,$8
-1,Quinn,Roquan Smith,LB,2024,2026,$19
-1,Schexes,Roschon Johnson,RB,2023,2025,$13
-1,Anthony,Russell Wilson,QB,2024,2025,$40
-1,Koci/Mueller,Ryan Flournoy,WR,2024,2026,$1
-1,Mitch,Sam Darnold,QB,2023,2025,$3
-1,Mike,Sam Howell,QB,2022,2024,$5
-1,Justin,Sam LaPorta,TE,2023,2024,$7
-1,Keyon,Saquon Barkley,RB,2024,2024,$215
-1,Anthony,Sean Tucker,RB,2023,2025,$4
-1,Mike,Sione Vaki,RB,2024,2026,$2
-1,Justin,Spencer Rattler,QB,2024,2026,$3
-1,Jason,Stefon Diggs,WR,2024,2026,$41
-1,Anthony,Stetson Bennett,QB,2023,2025,$2
-1,Brett,T'Vondre Sweat,DL,2024,2024,$1
-1,Mike,T.J. Edwards,LB,2023,2025,$4
-1,Brett,T.J. Hockenson,TE,2023,2025,$57
-1,Jason,T.J. Watt,DL/LB,2023,2025,$15
-1,Justin,Tank Bigsby,RB,2023,2025,$7
-1,Brett,Tank Dell,WR,2023,2024,$4
-1,Quinn,Tanner McKee,QB,2023,2025,$1
-1,Mike,Taysom Hill,QB/TE,2023,2024,$1
-1,Mike,Tee Higgins,WR,2023,2025,$105
-1,Keyon,Terrel Bernard,LB,2024,2026,$5
-1,Anthony,Terrion Arnold,DB,2024,2026,$1
-1,Brett,Terry McLaurin,WR,2022,2024,$95
-1,Brett,Theo Johnson,TE,2024,2025,$2
-1,Koci/Mueller,Tim Patrick,WR,2024,2026,$1
-1,Justin,Tony Pollard,RB,2024,2026,$50
-1,Brett,Travis Etienne,RB,2024,2025,$175
-1,Brett,Travis Kelce,TE,2024,2025,$90
-1,Koci/Mueller,Trayveon Williams,RB,2024,2026,$1
-1,Mitch,Tre Tucker,WR,2023,2025,$1
-1,Justin,Tremaine Edmunds,LB,2024,2026,$3
-1,Mitch,Trevor Lawrence,QB,2024,2026,$160
-1,Justin,Trey Benson,RB,2024,2026,$12
-1,Justin,Trey Hendrickson,DL,2024,2026,$3
-1,Jason,Trey McBride,TE,2022,2024,$2
-1,Luke,Trey Palmer,WR,2023,2025,$2
-1,Jason,Trey Sermon,RB,2024,2026,$2
-1,Justin,Troy Franklin,WR,2024,2026,$2
-1,Anthony,Tua Tagovailoa,QB,2023,2025,$215
-1,Schexes,Tucker Kraft,TE,2023,2025,$1
-1,Keyon,Ty Chandler,RB,2024,2025,$21
-1,Koci/Mueller,Tyjae Spears,RB,2023,2025,$13
-1,Mike,Tyler Allgeier,RB,2022,2024,$7
-1,Mitch,Tyler Bass,K,2023,2025,$1
-1,Mike,Tyler Conklin,TE,2024,2024,$1
-1,Mitch,Tyler Lockett,WR,2024,2024,$10
-1,Luke,Tyler Nubin,DB,2024,2026,$1
-1,Patrick,Tyler Scott,WR,2023,2025,$4
-1,Keyon,Tyreek Hill,WR,2024,2024,$200
-1,Keyon,Tyrone Tracy,RB,2024,2026,$3
-1,Quinn,Tyson Bagent,QB,2023,2025,$1
-1,Luke,Wan'Dale Robinson,WR,2022,2024,$8
-1,Keyon,Will Anderson,DL/LB,2023,2025,$1
-1,Schexes,Will Levis,QB,2023,2025,$15
-1,Anthony,Will Shipley,RB,2024,2026,$6
-1,Koci/Mueller,Xavier Gipson,WR,2024,2026,$1
-1,Justin,Xavier Legette,WR,2024,2026,$4
-1,Mitch,Xavier McKinney,DB,2024,2026,$2
-1,Schexes,Xavier Worthy,WR,2024,2026,$16
-1,Jason,Younghoe Koo,K,2024,2026,$1
-1,Justin,Zach Charbonnet,RB,2023,2025,$25
-1,Patrick,Zack Moss,RB,2024,2026,$46
-1,Koci/Mueller,Zaire Franklin,LB,2023,2024,$6
-1,Patrick,Zamir White,RB,2022,2024,$13
-1,Luke,Zaven Collins,DL/LB,2023,2024,$1
-1,Koci/Mueller,Zay Flowers,WR,2023,2025,$16
