ID,Owner,Name,Position,Start,End,Salary
13983,Trevor,A.J. Green,WR,2011,2013,$26
15785,Koci/Mueller,Ezekiel Ansah,DL,2013,2015,$1
11256,Daniel,Felix Jones,RB,2013,2013,$5
8479,Mitch,Frank Gore,RB,2012,2013,$120
11282,Schex,Fred Davis,TE,2012,2014,$35
10195,Trevor,Fred Jackson,RB,2013,2013,$27
15836,John,Gavin Escobar,TE,2013,2015,$1
13452,James,George Selvie,DL,FA,2013,$1
13311,Keyon,Geno Atkins,DL,2013,2015,$5
15864,Mitch,Geno Smith,QB,2013,2015,$17
15826,James,Giovani Bernard,RB,2013,2015,$26
13217,Keyon,Golden Tate,WR,2013,2015,$20
13377,Trevor,Greg Hardy,DL,2013,2015,$7
9638,Charles,Greg Jennings,WR,2013,2014,$47
14024,Mitch,Greg Little,WR,2013,2013,$5
10475,Mitch,Greg Olsen,TE,2013,2013,$40
14993,Pat/Quinn,Greg Zuerlein,K,2013,2013,$3
12586,Schex,Hakeem Nicks,WR,2013,2015,$55
14945,James,Harrison Smith,DB,2013,2015,$10
11318,Daniel,Harry Douglas,WR,FA,2013,$2
8444,Charles,Heath Miller,TE,2013,2013,$4
12898,Trevor,Isaac Redman,RB,2013,2013,$40
14888,Mitch,Isaiah Pead,RB,2012,2014,$13
13979,Jake/Luke,J.J. Watt,DL,2012,2013,$8
14036,,Jabaal Sheard,DL/LB,FA,2013
11197,Jake/Luke,Jackie Battle,RB,FA,2013,$1
11373,,Jacob Tamme,TE,FA,2013
13363,Mitch,Jacoby Ford,WR,2013,2013,$4
10517,Pat/Quinn,Jacoby Jones,WR,2013,2013,$74
14193,Syed,Jacquizz Rodgers,RB,2011,2013,$2
12613,Daniel,Jairus Byrd,DB,2012,2013,$7
13969,Pat/Quinn,Jake Locker,QB,2011,2013,$2
11307,Koci/Mueller,Jamaal Charles,RB,2013,2013,$265
14906,Trevor,James Hanna,TE,2012,2014,$1
10522,Koci/Mueller,James Jones,WR,2012,2014,$1
12454,Syed,James Laurinaitis,LB,2012,2014,$19
13214,Keyon,James Starks,RB,2011,2013,$5
14974,Mitch,Janoris Jenkins,DB,2012,2014,$1
5651,Pat/Quinn,Jared Allen,DL,2013,2015,$14
12537,Koci/Mueller,Jared Cook,TE,2011,2013,$3
14918,Pat/Quinn,Jarius Wright,WR,2012,2014,$1
15799,Schex,Jarvis Jones,LB,2013,2015,$1
5552,Syed,Jason Babin,DL,2013,2015,$1
8440,,Jason Campbell,QB,FA,2013
12691,Daniel,Jason McCourty,DB,2013,2013,$2
13256,Koci/Mueller,Jason Pierre-Paul,DL,2013,2013,$22
10687,Jake/Luke,Jason Snelling,RB,FA,2013,$4
4527,Charles,Jason Witten,TE,2013,2013,$55
13259,Daniel,Javier Arenas,DB,2013,2013,$2
9597,Keyon,Jay Cutler,QB,2012,2014,$55
15749,,Jeff Demps,RB,FA,2013
16237,Jake/Luke,Jeff Tuel,QB,FA,2013,$5
14151,John,Jeremy Kerley,WR,2013,2015,$1
12579,Schex,Jeremy Maclin,WR,2013,2015,$7
13228,John,Jermaine Gresham,TE,2013,2015,$12
11325,Keyon,Jermichael Finley,TE,2013,2013,$46
11244,Koci/Mueller,Jerod Mayo,LB,2012,2014,$16
11280,Syed,Jerome Simpson,WR,2013,2015,$3
11533,James,Jerrell Freeman,LB,2013,2015,$5
13232,Jake/Luke,Jimmy Graham,TE,2013,2013,$180
11252,Syed,Joe Flacco,QB,2011,2013,$50
13209,,Joe McKnight,RB,FA,2013
15831,Jake/Luke,John Cyprien,DB,2013,2015,$1
15925,John,Johnathan Franklin,RB,2013,2015,$13
13536,Mitch,Joique Bell,RB,2013,2013,$16
13986,James,Jon Baldwin,WR,2011,2013,$13
15827,Syed,Jon Bostic,LB,2013,2015,$1
13206,,Jonathan Dwyer,RB,FA,2013
11247,John,Jonathan Stewart,RB,2013,2015,$7
14189,Daniel,Jordan Cameron,TE,2011,2013,$1
11270,Keyon,Jordy Nelson,WR,2011,2013,$5
16013,James,Joseph Randle,RB,2013,2015,$13
15998,John,Josh Boyce,WR,2013,2015,$1
9270,,Josh Cribbs,WR,FA,2013
12473,Koci/Mueller,Josh Freeman,QB,2013,2015,$90
15705,Pat/Quinn,Josh Gordon,WR,2013,2015,$23
11408,Daniel,Josh Morgan,WR,2013,2013,$3
12649,Schex,Julian Edelman,WR,2013,2014,$15
13982,James,Julio Jones,WR,2011,2013,$26
3530,,Julius Peppers,DL,FA,2013
14204,Daniel,Julius Thomas,TE,2013,2015,$3
14907,Jake/Luke,Justin Blackmon,WR,2012,2014,$16
11467,Schex,Justin Forsett,RB,FA,2013,$1
15845,Daniel,Justin Hunter,WR,2013,2015,$5
2552,Mitch,Justin Smith,DL,2012,2013,$5
15683,Syed,Justin Tucker,K,2012,2014,$1
13336,Trevor,Kam Chancellor,DB,2012,2013,$15
5558,Trevor,Karlos Dansby,LB,2013,2013,$1
15818,Mitch,Keenan Allen,WR,2013,2015,$9
5531,John,Kellen Winslow,TE,FA,2013,$15
16381,Syed,Kenbrell Thompkins,WR,2013,2015,$18
14159,Syed,Kendall Hunter,RB,2013,2015,$1
14909,Charles,Kendall Wright,WR,2012,2014,$8
15921,Keyon,Kenjon Barner,RB,2013,2015,$7
12556,Pat/Quinn,Kenny Britt,WR,2012,2014,$35
16016,Daniel,Kenny Stills,WR,2013,2015,$9
15813,Keyon,Kenny Vaccaro,DB,2013,2015,$1
14916,Koci/Mueller,Keshawn Martin,WR,2012,2014,$4
10480,,Kevin Kolb,QB,FA,2013
15856,,Kevin Minter,LB,FA,2013
12588,Trevor,Kevin Ogletree,WR,2013,2015,$3
15819,Syed,Kiko Alonso,LB,2013,2015,$1
14880,Schex,Kirk Cousins,QB,2012,2014,$2
15832,Jake/Luke,Knile Davis,RB,2013,2015,$7
12516,Mitch,Knowshon Moreno,RB,2013,2013,$10
8520,Pat/Quinn,Kyle Orton,QB,FA,2013,$3
14054,Trevor,Kyle Rudolph,TE,2011,2013,$1
13488,Schex,Kyle Williams,WR,FA,2013,$1
14886,Syed,Lamar Miller,RB,2012,2014,$13
14890,Syed,LaMichael James,RB,2013,2015,$7
11912,,Lance Ball,RB,FA,2013
4526,Trevor,Lance Briggs,LB,2013,2013,$2
15369,Keyon,Lance Dunbar,RB,2013,2015,$8
14007,,Lance Kendricks,TE,FA,2013
9400,Koci/Mueller,Lance Moore,WR,2011,2013,$20
15904,Trevor,Landry Jones,QB,2013,2015,$1
12730,Syed,LaRod Stephens-Howling,RB,2013,2015,$1
10451,John,LaRon Landry,DB,FA,2013,$1
5528,Pat/Quinn,Larry Fitzgerald,WR,2012,2014,$130
15920,,Latavius Murray,RB,FA,2013
14985,Keyon,Lavonte David,LB,2012,2014,$1
10459,Daniel,Lawrence Timmons,LB,2012,2014,$5
15825,Charles,Le'Veon Bell,RB,2013,2015,$26
13213,Daniel,LeGarrette Blount,RB,2013,2013,$2
11245,Keyon,Leodis McKelvin,DB,2013,2015,$3
9703,Trevor,Leon Washington,RB,2013,2013,$10
14021,Jake/Luke,Leonard Hankerson,WR,FA,2013,$4
12514,Trevor,LeSean McCoy,RB,2013,2013,$230
14570,Daniel,Lestar Jean,WR,2013,2013,$2
1680,James,London Fletcher,LB,2013,2013,$7
14938,Jake/Luke,Luke Kuechly,LB,2012,2014,$1
6016,Charles,Malcom Floyd,WR,2011,2013,$15
