"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Alex Collins","SEA","RB","Drop","(REYN) One Sakura Tree Tannehill","","3","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Quinnen Williams","NYJ","DL","Claim","(QTM) Ezekiki's Delivery Service","2.00","5","1/99","Thu Dec 9, 2021, 9:00AM","14"
"DeForest Buckner","IND","DL","Drop","(QTM) Ezekiki's Delivery Service","","5","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Jordan Fuller","LAR","DB","Claim","(SCHX) Gridiron Chefs","1.00","2","1/1","Thu Dec 9, 2021, 9:00AM","14"
"K.J. Osborn","MIN","WR","Claim","(REYN) One Sakura Tree Tannehill","10.00","2","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Deonte Harty","NO","WR","Drop","(REYN) One Sakura Tree Tannehill","","2","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Chris Boswell","PIT","K","Claim","(QTM) Ezekiki's Delivery Service","2.00","4","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Daniel Carlson","LV","K","Drop","(QTM) Ezekiki's Delivery Service","","4","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Ameer Abdullah","MIN/CAR","RB","Claim","(REYN) One Sakura Tree Tannehill","10.00","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Matt Breida","BUF","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Kamu Grugier-Hill","HOU","LB","Claim","(Keyon) As The World Turns Japanese","11.00","2","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Azeez Al-Shaair","SF","LB","Drop","(Keyon) As The World Turns Japanese","","2","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Laquon Treadwell","IND","WR","Claim","(QTM) Ezekiki's Delivery Service","10.00","3","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Jack Doyle","IND","TE","Drop","(QTM) Ezekiki's Delivery Service","","3","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Brandon McManus","DEN","K","Claim","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","1.00","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Jason Sanders","MIA","K","Drop","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Samaje Perine","CIN","RB","Claim","(Keyon) As The World Turns Japanese","17.00","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"Chandler Jones","ARI","DL,LB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Dec 9, 2021, 9:00AM","14"
"DeVante Parker","MIA","WR","Claim","(Keyon) As The World Turns Japanese","11.00","1","1/99","Sun Dec 5, 2021, 9:00AM","13"
"Fred Warner","SF","LB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sun Dec 5, 2021, 9:00AM","13"
"Ronnie Harrison","CLE","DB","Claim","(SCHX) Gridiron Chefs","1.00","1","1/1","Sun Dec 5, 2021, 9:00AM","13"
"Mike Glennon","NYG","QB","Drop","(SCHX) Gridiron Chefs","","1","1/1","Sun Dec 5, 2021, 9:00AM","13"
"Allen Robinson","CHI","WR","Claim","(MITCH) Tokyo Bear Kitty","4.00","2","1/99","Sat Dec 4, 2021, 9:00AM","13"
"DeVante Parker","MIA","WR","Drop","(MITCH) Tokyo Bear Kitty","","2","1/99","Sat Dec 4, 2021, 9:00AM","13"
"Jack Doyle","IND","TE","Claim","(QTM) Ezekiki's Delivery Service","7.00","1","1/99","Sat Dec 4, 2021, 9:00AM","13"
"Anthony Firkser","TEN","TE","Drop","(QTM) Ezekiki's Delivery Service","","1","1/99","Sat Dec 4, 2021, 9:00AM","13"
"Sony Michel","LAR","RB","Claim","(REYN) One Sakura Tree Tannehill","38.00","1","1/99","Sat Dec 4, 2021, 9:00AM","13"
"D'Ernest Johnson","CLE","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Sat Dec 4, 2021, 9:00AM","13"
"Jason Myers","SEA","K","Claim","(pat) Tecmo Bo and the Beautiful","1.00","1","1/99","Fri Dec 3, 2021, 9:00AM","13"
"Joe Flacco","PHI/NYJ","QB","Claim","(LUKE) Picked off in Kyoto: The City","1.00","1","1/99","Fri Dec 3, 2021, 9:00AM","13"
"Jamal Agnew","JAX","WR","Drop","(LUKE) Picked off in Kyoto: The City","","1","1/99","Fri Dec 3, 2021, 9:00AM","13"
"Gerald Everett","SEA","TE","Claim","(SCHX) Gridiron Chefs","1.00","1","1/1","Fri Dec 3, 2021, 9:00AM","13"
"Trevon Diggs","DAL","DB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Thu Dec 2, 2021, 9:43AM","13"
"Daniel Carlson","LV","K","Claim","(QTM) Ezekiki's Delivery Service","7.00","6","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Michael Badgley","TEN/IND","K","Drop","(QTM) Ezekiki's Delivery Service","","6","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Haason Reddick","CAR","LB","Claim","(QTM) Ezekiki's Delivery Service","7.00","4","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Adam Trautman","NO","TE","Drop","(QTM) Ezekiki's Delivery Service","","4","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Azeez Al-Shaair","SF","LB","Claim","(Keyon) As The World Turns Japanese","1.00","4","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Ashtyn Davis","NYJ","DB","Drop","(Keyon) As The World Turns Japanese","","4","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Alex Anzalone","DET","LB","Claim","(QTM) Ezekiki's Delivery Service","7.00","3","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Khalil Mack","CHI","LB","Drop","(QTM) Ezekiki's Delivery Service","","3","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Mike Glennon","NYG","QB","Claim","(SCHX) Gridiron Chefs","2.00","3","1/1","Thu Dec 2, 2021, 9:00AM","13"
"Tyler Huntley","BAL","QB","Drop","(SCHX) Gridiron Chefs","","3","1/1","Thu Dec 2, 2021, 9:00AM","13"
"Jayron Kearse","DAL","DB","Claim","(QTM) Ezekiki's Delivery Service","7.00","7","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Sony Michel","LAR","RB","Drop","(QTM) Ezekiki's Delivery Service","","7","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Chandler Jones","ARI","DL,LB","Claim","(Keyon) As The World Turns Japanese","2.00","2","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Dyami Brown","WAS","WR","Drop","(Keyon) As The World Turns Japanese","","2","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Josh Reynolds","TEN/DET","WR","Claim","(QTM) Ezekiki's Delivery Service","7.00","2","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Kwity Paye","IND","DL","Drop","(QTM) Ezekiki's Delivery Service","","2","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Foster Moreau","LV","TE","Claim","(Keyon) As The World Turns Japanese","14.00","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Allen Robinson","CHI","WR","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Matt Breida","BUF","RB","Claim","(REYN) One Sakura Tree Tannehill","12.00","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Christian McCaffrey","CAR","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Von Miller","DEN/LAR","LB","Claim","(RIDD)Remember this Asian nations HS QB","1.00","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Jonathon Cooper","DEN","DL,LB","Drop","(RIDD)Remember this Asian nations HS QB","","1","1/99","Thu Dec 2, 2021, 9:00AM","13"
"Robbie Gould","SF","K","Claim","(LUKE) Picked off in Kyoto: The City","1.00","1","1/99","Fri Nov 26, 2021, 9:00AM","12"
"Mason Rudolph","PIT","QB","Drop","(LUKE) Picked off in Kyoto: The City","","1","1/99","Fri Nov 26, 2021, 9:00AM","12"
"Joey Slye","HOU/SF/WAS","K","Claim","(Trevor) Aaron No BallZ","1.00","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Jacob Eason","SEA","QB","Drop","(Trevor) Aaron No BallZ","","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Rex Burkhead","HOU","RB","Claim","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","1.00","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Le'Veon Bell","BAL/TB","RB","Drop","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Sony Michel","LAR","RB","Claim","(QTM) Ezekiki's Delivery Service","3.00","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Robert Woods","LAR","WR","Drop","(QTM) Ezekiki's Delivery Service","","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Dontrell Hilliard","HOU/TEN","RB","Claim","(LUKE) Picked off in Kyoto: The City","1.00","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Greg Joseph","MIN","K","Claim","(Keyon) As The World Turns Japanese","1.00","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"Daniel Carlson","LV","K","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Nov 25, 2021, 9:00AM","12"
"P.J. Walker","CAR","QB","Drop","(LUKE) Picked off in Kyoto: The City","","1","1/99","Sun Nov 21, 2021, 9:25AM","11"
"Tim Boyle","(N/A)","QB","Claim","(MITCH) Tokyo Bear Kitty","1.00","1","1/99","Sun Nov 21, 2021, 9:00AM","11"
"Allen Lazard","GB","WR","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Sun Nov 21, 2021, 9:00AM","11"
"Robert Quinn","CHI","DL,LB","Claim","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","1.00","1","1/99","Sat Nov 20, 2021, 9:00AM","11"
"Juan Thornhill","KC","DB","Drop","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","","1","1/99","Sat Nov 20, 2021, 9:00AM","11"
"Jayon Brown","TEN","LB","Claim","(QTM) Ezekiki's Delivery Service","3.00","1","1/99","Sat Nov 20, 2021, 9:00AM","11"
"Peyton Barber","LV","RB","Drop","(QTM) Ezekiki's Delivery Service","","1","1/99","Sat Nov 20, 2021, 9:00AM","11"
"Kyzir White","LAC","LB","Claim","(JoZa) Oh Captain My Captain Kirk","1.00","2","1/99","Thu Nov 18, 2021, 9:00AM","11"
"Tae Crowder","NYG","LB","Claim","(JoZa) Oh Captain My Captain Kirk","1.00","1","1/99","Thu Nov 18, 2021, 9:00AM","11"
"Yannick Ngakoue","LV","DL","Claim","(MITCH) Tokyo Bear Kitty","1.00","1","1/99","Thu Nov 18, 2021, 9:00AM","11"
"Chase Young","WAS","DL","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Thu Nov 18, 2021, 9:00AM","11"
"D'Onta Foreman","TEN","RB","Claim","(REYN) One Sakura Tree Tannehill","4.00","1","1/1","Thu Nov 18, 2021, 9:00AM","11"
"Chandler Jones","ARI","DL,LB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/1","Thu Nov 18, 2021, 9:00AM","11"
"DeAndre Carter","WAS","WR","Claim","(Keyon) As The World Turns Japanese","3.00","1","1/99","Thu Nov 18, 2021, 9:00AM","11"
"Devontae Booker","NYG","RB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Thu Nov 18, 2021, 9:00AM","11"
"Nick Folk","NE","K","Claim","(SCHX) Gridiron Chefs","1.00","1","1/1","Thu Nov 18, 2021, 9:00AM","11"
"Eno Benjamin","ARI","RB","Claim","(BLEEZ) Tua Fast Tua Furious:Tokyo Drift","1.00","1","1/99","Sun Nov 14, 2021, 9:00AM","10"
"Mason Rudolph","PIT","QB","Claim","(LUKE) Picked off in Kyoto: The City","1.00","1","1/99","Sun Nov 14, 2021, 9:00AM","10"
"Brandon McManus","DEN","K","Drop","(LUKE) Picked off in Kyoto: The City","","1","1/99","Sun Nov 14, 2021, 9:00AM","10"
"Jordan Hicks","ARI","LB","Claim","(REYN) One Sakura Tree Tannehill","1.00","1","1/99","Sat Nov 13, 2021, 9:00AM","10"
"Greg Joseph","MIN","K","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Sat Nov 13, 2021, 9:00AM","10"
"Ashtyn Davis","NYJ","DB","Claim","(Keyon) As The World Turns Japanese","1.00","1","1/99","Sat Nov 13, 2021, 9:00AM","10"
"DeAndre Houston-Carson","CHI","DB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sat Nov 13, 2021, 9:00AM","10"
"Jonathon Cooper","DEN","DL,LB","Claim","(RIDD)Remember this Asian nations HS QB","1.00","1","1/99","Fri Nov 12, 2021, 9:00AM","10"
"Pete Werner","NO","LB","Drop","(RIDD)Remember this Asian nations HS QB","","1","1/99","Fri Nov 12, 2021, 9:00AM","10"
"D'Ernest Johnson","CLE","RB","Claim","(REYN) One Sakura Tree Tannehill","9.00","1","2/99","Thu Nov 11, 2021, 9:00AM","10"
"Samaje Perine","CIN","RB","Drop","(REYN) One Sakura Tree Tannehill","","1","2/99","Thu Nov 11, 2021, 9:00AM","10"
"Deonte Harty","NO","WR","Claim","(REYN) One Sakura Tree Tannehill","4.00","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Dustin Hopkins","WAS/LAC","K","Claim","(MITCH) Tokyo Bear Kitty","1.00","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Jabrill Peppers","NYG","DB","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"P.J. Walker","CAR","QB","Claim","(LUKE) Picked off in Kyoto: The City","5.00","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Nick Kwiatkoski","LV","LB","Drop","(LUKE) Picked off in Kyoto: The City","","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Kenny Moore","IND","DB","Claim","(SCHX) Gridiron Chefs","3.00","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Kyle Dugger","NE","DB","Drop","(SCHX) Gridiron Chefs","","1","1/99","Thu Nov 11, 2021, 9:00AM","10"
"Sam Darnold","CAR","QB","Drop","(REYN) One Sakura Tree Tannehill","","1","1/99","Tue Nov 9, 2021, 5:56PM","10"
"Rodrigo Blankenship","IND","K","Drop","(KoMu) Domo Arigato Mr. Prescott, Oh!","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"Montez Sweat","WAS","DL","Drop","(MITCH) Tokyo Bear Kitty","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"Drew Lock","DEN","QB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"Khari Willis","IND","DB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"Jacob Harris","(N/A)","TE","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"J.J. Watt","ARI","DL","Drop","(RIDD)Remember this Asian nations HS QB","","1","1/99","Wed Nov 10, 2021, 8:05PM","10"
"DeAndre Houston-Carson","CHI","DB","Claim","(Keyon) As The World Turns Japanese","1.00","1","1/1","Mon Nov 8, 2021, 9:00AM","9"
"Kenny Young","DEN","LB","Drop","(Keyon) As The World Turns Japanese","","1","1/99","Sun Nov 7, 2021, 9:52AM","9"
"Josh Bynes","BAL","LB","Claim","(pat) Tecmo Bo and the Beautiful","1.00","1","1/99","Sun Nov 7, 2021, 9:00AM","9"
