"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Equanimeous St. Brown","GB","WR","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","2","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Matt Milano","BUF","LB","Claim","(Luke) The Folksmen","1.00","3","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Jahlani Tavai","DET","LB","Drop","(Luke) The Folksmen","","3","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Mo Alie-Cox","IND","TE","Claim","(REYN) Sex Bob-omb and the City","8.00","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Jalen Richard","LV","RB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Akiem Hicks","CHI","DL","Claim","(REYN) Sex Bob-omb and the City","4.00","1","2/99","Thu Oct 1, 2020, 9:00AM","4"
"Trey Flowers","DET","DL","Drop","(REYN) Sex Bob-omb and the City","","1","2/99","Thu Oct 1, 2020, 9:00AM","4"
"Tyrann Mathieu","KC","DB","Claim","(Luke) The Folksmen","1.00","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Brandon Jones","MIA","DB","Drop","(Luke) The Folksmen","","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Chuck Clark","BAL","DB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Jordan Reed","SF","TE","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Daniel Carlson","LV","K","Claim","Figrin J'OHN and the Modal Nodes","1.00","1","1/2","Thu Oct 1, 2020, 9:00AM","4"
"Kerry Hyder","SF","DL","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Darwin Thompson","KC","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Oct 1, 2020, 9:00AM","4"
"Austin Seibert","CLE/CIN","K","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Oct 1, 2020, 8:44AM","4"
"Courtland Sutton","DEN","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Oct 1, 2020, 6:35AM","4"
"Trey Flowers","DET","DL","Claim","(REYN) Sex Bob-omb and the City","1.00","1","1/99","Mon Sep 28, 2020, 8:05PM","4"
"Carl Lawson","CIN","DL","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Mon Sep 28, 2020, 8:05PM","4"
"Jalen Richard","LV","RB","Claim","(REYN) Sex Bob-omb and the City","10.00","1","1/99","Mon Sep 28, 2020, 8:05PM","4"
"Mo Alie-Cox","IND","TE","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Mon Sep 28, 2020, 8:05PM","4"
"Mo Alie-Cox","IND","TE","Claim","(REYN) Sex Bob-omb and the City","5.00","2","1/99","Mon Sep 28, 2020, 9:00AM","4"
"Jalen Richard","LV","RB","Drop","(REYN) Sex Bob-omb and the City","","2","1/99","Mon Sep 28, 2020, 9:00AM","4"
"Carl Lawson","CIN","DL","Claim","(REYN) Sex Bob-omb and the City","3.00","1","1/99","Mon Sep 28, 2020, 9:00AM","4"
"Trey Flowers","DET","DL","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Mon Sep 28, 2020, 9:00AM","4"
"Rex Burkhead","NE","RB","Claim","Cap'n Geech & The Shrimp Shaq Shooters","1.00","1","1/99","Sun Sep 27, 2020, 9:00AM","3"
"Ito Smith","ATL","RB","Drop","Cap'n Geech & The Shrimp Shaq Shooters","","1","1/99","Sun Sep 27, 2020, 9:00AM","3"
"Kenny Vaccaro","TEN","DB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Sun Sep 27, 2020, 9:00AM","3"
"Darnell Savage","GB","DB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Sun Sep 27, 2020, 9:00AM","3"
"Jordan Reed","SF","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","2/99","Sun Sep 27, 2020, 9:00AM","3"
"Kenny Stills","HOU","WR","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","2/99","Sun Sep 27, 2020, 9:00AM","3"
"Jon Bostic","WAS","LB","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Jarrad Davis","DET","LB","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Eric Wilson","MIN","LB","Claim","(SCHX) Onederlic Life to Live","2.00","5","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Malik Harrison","BAL","LB","Drop","(SCHX) Onederlic Life to Live","","5","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Darwin Thompson","KC","RB","Claim","(SCHX) Onederlic Life to Live","1.00","2","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Chase Daniel","DET","QB","Drop","(SCHX) Onederlic Life to Live","","2","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Myles Gaskin","MIA","RB","Claim","(Keyon) Quon T. Hill and the Zits","3.00","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Greg Olsen","SEA","TE","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Jeffery Wilson","SF","RB","Claim","Kelce and the Kickers (MITCH)","16.00","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Jordan Howard","MIA/PHI","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Keelan Cole","JAX","WR","Claim","Kelce and the Kickers (MITCH)","8.00","2","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Mike Boone","MIN","RB","Drop","Kelce and the Kickers (MITCH)","","2","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Jeff Driskel","DEN","QB","Claim","(QTM) Tyler Dethklokett","4.00","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Anthony Gordon","(N/A)","QB","Drop","(QTM) Tyler Dethklokett","","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"De'Vondre Campbell","ARI","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","1","1/99","Thu Sep 24, 2020, 9:00AM","3"
"Kenny Stills","HOU","WR","Claim","(TMAN) Dr Teeth and The Electric Mayhem","13.00","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"David Njoku","CLE","TE","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"Jordan Howard","MIA/PHI","RB","Claim","Kelce and the Kickers (MITCH)","37.00","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"Myles Gaskin","MIA","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"Greg Olsen","SEA","TE","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"Keelan Cole","JAX","WR","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Mon Sep 21, 2020, 8:05PM","3"
"Keelan Cole","JAX","WR","Claim","(Keyon) Quon T. Hill and the Zits","1.00","2","1/99","Mon Sep 21, 2020, 9:00AM","3"
"Greg Olsen","SEA","TE","Drop","(Keyon) Quon T. Hill and the Zits","","2","1/99","Mon Sep 21, 2020, 9:00AM","3"
"Myles Gaskin","MIA","RB","Claim","Kelce and the Kickers (MITCH)","5.00","1","1/99","Mon Sep 21, 2020, 9:00AM","3"
"Jordan Howard","MIA/PHI","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Mon Sep 21, 2020, 9:00AM","3"
"David Njoku","CLE","TE","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Sun Sep 20, 2020, 9:00AM","3"
"Kenny Stills","HOU","WR","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Sun Sep 20, 2020, 9:00AM","3"
"Brandon Jones","MIA","DB","Claim","(Luke) The Folksmen","1.00","1","1/99","Sat Sep 19, 2020, 9:00AM","2"
"Trey Flowers","DET","DL","Claim","(REYN) Sex Bob-omb and the City","1.00","1","1/99","Fri Sep 18, 2020, 9:00AM","2"
"Demarcus Lawrence","DAL","DL","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Fri Sep 18, 2020, 9:00AM","2"
"Nathan Gerry","PHI","LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","1.00","1","1/99","Fri Sep 18, 2020, 9:00AM","2"
"Taylor Rapp","LAR","DB","Drop","(TMAN) Dr Teeth and The Electric Mayhem","","1","1/99","Fri Sep 18, 2020, 9:00AM","2"
"Willie Snead","BAL","WR","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","3","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Jason Huntley","PHI","RB","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","3","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Marcus Maye","NYJ","DB","Claim","(Keyon) Quon T. Hill and the Zits","3.00","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Nick Kwiatkoski","LV","LB","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Aldon Smith","DAL","DL,LB","Claim","(TMAN) Dr Teeth and The Electric Mayhem","2.00","1","1/1","Thu Sep 17, 2020, 9:00AM","2"
"Josh Bynes","CIN","LB","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Justin Jackson","LAC","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Logan Thomas","WAS","TE","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Ha Ha Clinton-Dix","(N/A)","DB","Drop","(pat) Crucifictorious Maids","","1","1/99","Thu Sep 17, 2020, 9:00AM","2"
"Todd Davis","MIN","LB","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Tue Sep 15, 2020, 9:15AM","2"
"Corey Clement","PHI","RB","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Sun Sep 13, 2020, 9:00AM","1"
"Justin Jackson","LAC","RB","Claim","Kelce and the Kickers (MITCH)","1.00","1","1/99","Sat Sep 12, 2020, 9:00AM","1"
"Chris Boswell","PIT","K","Claim","Figrin J'OHN and the Modal Nodes","1.00","1","1/99","Thu Sep 10, 2020, 9:00AM","1"
"Austin MacGinnis","LAR","K","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Thu Sep 10, 2020, 9:00AM","1"
"Myles Jack","JAX","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","13","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Dante Fowler","ATL","DL,LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","12","2/99","Wed Sep 9, 2020, 9:00AM","1"
