ID,Owner,Name,Position,Start,End,Salary
5859,Trevor,A.J. Brown,WR,2019,2021,$16
3210,,Cardale Jones,QB,FA,2018
529,,Carlos Dunlap,DL,FA,2018
4108,,Carlos Henderson,WR,FA,2018
2257,,Carlos Hyde,RB,FA,2019
91,,Carson Palmer,QB,FA,2018
3161,John/Zach,Carson Wentz,QB,2019,2021,$180
1737,James/Charles,Case Keenum,QB,2019,2019,$16
1175,,Casey Hayward,DB,FA,2018
4175,,Chad Hansen,WR,FA,2018
89,,Chad Henne,QB,FA,2018
4051,Trevor,Chad Kelly,QB,2018,2020,$8
4128,,Chad Williams,WR,FA,2018
2242,,Chandler Catanzaro,K,FA,2018
1038,,Chandler Jones,DL,FA,2018
2024,,Charcandrick West,RB,FA,2018
801,Terence,Charles Clay,TE,2017,2019,$1
1530,,Charles Johnson,WR,FA,2018
2223,,Charles Sims,RB,FA,2018
3396,,Charone Peake,WR,FA,2018
490,Koci/Mueller,Chase Daniel,QB,2019,2021,$5
5000,Syed/Kuan,Chase Edmonds,RB,2018,2020,$7
6133,Terence,Chase Winovich,DL,2019,2021,$1
3582,,Chester Rogers,WR,FA,2018
1945,,Chris Boswell,K,FA,2018
4273,Koci/Mueller,Chris Carson,RB,2017,2019,$3
2381,,Chris Conley,WR,FA,2018
4037,Brett/Luke,Chris Godwin,WR,2019,2021,$110
5009,Keyon,Chris Herndon,TE,2019,2021,$3
1329,Terence,Chris Hogan,WR,2017,2019,$8
717,Trevor,Chris Ivory,RB,2017,2019,$2
272,,Chris Johnson,RB,FA,2018
3558,Schex,Chris Jones,DL,2019,2019,$1
3269,,Chris Moore,WR,FA,2018
1502,Koci/Mueller,Chris Thompson,RB,2019,2021,$6
5587,,Chris Warren,RB,FA,2018
3168,,Christian Hackenberg,QB,FA,2018
2110,,Christian Jones,LB,FA,2018
4950,James/Charles,Christian Kirk,WR,2018,2020,$9
1905,Quinn,Christian Kirksey,LB,2018,2020,$5
4034,Koci/Mueller,Christian McCaffrey,RB,2017,2019,$24
1596,,Christine Michael,RB,FA,2018
2414,,Clayton Geathers,DB,FA,2018
5842,Trevor,Clelin Ferrell,DL,2019,2021,$1
170,,Cliff Avril,DL,FA,2018
2373,,Clive Walford,TE,FA,2018
1107,,Coby Fleener,TE,FA,2018
3205,,Cody Kessler,QB,FA,2018
2004,,Cody Latimer,WR,FA,2018
1974,,Cody Parkey,K,FA,2018
1144,Quinn,Cole Beasley,WR,2019,2019,$2
980,,Colin Kaepernick,QB,FA,2018
533,Syed/Kuan,Colt McCoy,QB,2019,2021,$1
499,,Connor Barth,K,FA,2018
371,,Connor Barwin,DL,FA,2018
3171,,Connor Cook,QB,FA,2018
4039,Trevor,Cooper Kupp,WR,2017,2019,$5
4574,Koci/Mueller,Cooper Rush,QB,2019,2021,$1
1535,Trevor,Cordarrelle Patterson,WR,2019,2020,$2
4651,Syed/Kuan,Corey Clement,RB,2019,2021,$1
3177,,Corey Coleman,WR,FA,2018
4036,Schex,Corey Davis,WR,2017,2019,$18
273,,Corey Graham,DB,FA,2018
2729,,Corey Grant,RB,FA,2018
3350,,Cory James,LB,FA,2018
3747,Schex,Cory Littleton,LB,2018,2020,$1
5045,John/Zach,Courtland Sutton,WR,2018,2020,$9
1272,,Craig Robertson,LB,FA,2018
1868,,Crockett Gillmore,TE,FA,2018
4082,Syed/Kuan,Curtis Samuel,WR,2017,2019,$5
4951,Patrick,DJ Chark,WR,2018,2020,$5
3488,,D.J. Foster,RB,FA,2018
1429,,D.J. Swearinger,DB,FA,2018
4111,Trevor,D'Onta Foreman,RB,2017,2019,$24
93,,D'Qwell Jackson,LB,FA,2018
4998,Brett/Luke,DaeSean Hamilton,WR,2018,2019,$2
3294,Koci/Mueller,Dak Prescott,QB,2019,2021,$107
5022,John/Zach,Dallas Goedert,TE,2018,2020,$4
5001,,Dalton Schultz,TE,FA,2018
4029,Patrick,Dalvin Cook,RB,2017,2019,$24
2335,Keyon,Damarious Randall,DB,2019,2019,$1
5890,James/Charles,Damien Harris,RB,2019,2021,$7
1833,Keyon,Damien Williams,RB,2019,2019,$130
