Source,Year,EspnId,Owner,Name,Position,Start,End,Salary
dynastyData.xml,2009,11287,,Limas Sweed,WR,2008,2010,4
dynastyData.xml,2009,8459,,Lofa Tatupu,LB,2009,2011,8
dynastyData.xml,2009,1680,,London Fletcher,LB,FA,2009,1
dynastyData.xml,2009,12426,,Malcolm Jenkins,DB,2009,2009,10
dynastyData.xml,2009,11285,,Malcolm Kelly,WR,2009,2011,1
dynastyData.xml,2009,2299,,Marc Bulger,QB,FA,2009,1
dynastyData.xml,2009,4469,,Marcus Trufant,DB,2008,2010,2
dynastyData.xml,2009,11329,,Mario Manningham,WR,FA,2009,1
dynastyData.xml,2009,9587,,Mario Williams,DL,2009,2011,19
dynastyData.xml,2009,8523,,Marion Barber,RB,2009,2011,125
dynastyData.xml,2009,8437,,Mark Clayton,WR,2009,2011,2
dynastyData.xml,2009,12482,,Mark Sanchez,QB,2009,2011,75
dynastyData.xml,2009,9838,,Marques Colston,WR,2009,2011,120
dynastyData.xml,2009,10456,,Marshawn Lynch,RB,2009,2011,78
dynastyData.xml,2009,11295,,Martellus Bennett,TE,2009,2011,7
dynastyData.xml,2009,10636,,Mason Crosby,K,2009,2009,1
dynastyData.xml,2009,8644,,Matt Cassel,QB,2009,2009,118
dynastyData.xml,2009,11278,,Matt Forte,RB,2008,2009,13
dynastyData.xml,2009,1575,,Matt Hasselbeck,QB,2009,2009,20
dynastyData.xml,2009,9596,,Matt Leinart,QB,2009,2011,1
dynastyData.xml,2009,11122,,Matt Prater,K,2009,2009,1
dynastyData.xml,2009,11237,,Matt Ryan,QB,2008,2010,10
dynastyData.xml,2009,5615,,Matt Schaub,QB,2008,2010,37
dynastyData.xml,2009,11387,,Matt Slater,WR,FA,2009,1
dynastyData.xml,2009,12483,,Matthew Stafford,QB,2009,2011,25
dynastyData.xml,2009,9646,,Maurice Jones-Drew,RB,2008,2010,142
dynastyData.xml,2009,10544,,Michael Bush,RB,2009,2009,2
dynastyData.xml,2009,12563,,Michael Crabtree,WR,2009,2011,28
dynastyData.xml,2009,5679,,Michael Turner,RB,2008,2009,128
dynastyData.xml,2009,2549,,Michael Vick,QB,2009,2011,5
dynastyData.xml,2009,9864,,Mike Bell,RB,FA,2009,1
dynastyData.xml,2009,10523,,Mike Sims-Walker,WR,FA,2009,1
dynastyData.xml,2009,12601,,Mike Wallace,WR,FA,2009,1
dynastyData.xml,2009,12581,,Mohamed Massaquoi,WR,2009,2011,14
dynastyData.xml,2009,936,,Muhsin Muhammad,WR,FA,2009,1
dynastyData.xml,2009,4529,,Nate Burleson,WR,FA,2009,1
dynastyData.xml,2009,2569,,Nate Clements,DB,2008,2010,4
dynastyData.xml,2009,5590,,Nate Kaeding,K,2008,2010,2
dynastyData.xml,2009,9307,,Nate Washington,WR,FA,2009,1
dynastyData.xml,2009,2300,,Neil Rackers,K,FA,2009,1
dynastyData.xml,2009,8465,,Nick Collins,DB,FA,2009,1
dynastyData.xml,2009,8480,,Oshiomogho Atogwe,DB,2009,2011,1
dynastyData.xml,2009,4514,,Osi Umenyiora,DL,2009,2011,4
dynastyData.xml,2009,9684,,Owen Daniels,TE,2008,2010,4
dynastyData.xml,2009,5741,,Patrick Crayton,WR,2008,2009,8
dynastyData.xml,2009,1782,,Patrick Kerney,DL,2009,2009,1
dynastyData.xml,2009,12599,,Patrick Turner,WR,2009,2011,1
dynastyData.xml,2009,10455,,Patrick Willis,LB,2009,2009,36
dynastyData.xml,2009,12569,,Percy Harvin,WR,2009,2011,42
dynastyData.xml,2009,1428,,Peyton Manning,QB,2008,2009,170
dynastyData.xml,2009,5529,,Philip Rivers,QB,2009,2011,85
dynastyData.xml,2009,11439,,Pierre Garcon,WR,FA,2009,1
dynastyData.xml,2009,10713,,Pierre Thomas,RB,2008,2010,2
dynastyData.xml,2009,2139,,Plaxico Burress,WR,2009,2009,5
dynastyData.xml,2009,12555,,Ramses Barden,WR,2009,2011,1
dynastyData.xml,2009,1433,,Randy Moss,WR,2009,2009,222
dynastyData.xml,2009,11257,,Rashard Mendenhall,RB,2008,2010,58
dynastyData.xml,2009,9268,,Rashied Davis,WR,2009,2011,1
dynastyData.xml,2009,11289,,Ray Rice,RB,2008,2010,2
