ID,Owner,Name,Position,Start,End,Salary
13983,Trevor,A.J. Green,WR,2011,2013,$26
12514,Trevor,LeSean McCoy,RB,2012,2012,$310
14570,,Lestar Jean,WR,FA,2012
1680,Koci,London Fletcher,LB,2012,2012,$32
14938,Jake/Luke,Luke Kuechly,LB,2012,2014,$1
6016,Charles,Malcom Floyd,WR,2011,2013,$15
9614,James,Marcedes Lewis,TE,2012,2012,$26
12524,,Marcus Thigpen,RB,FA,2012
11329,Syed,Mario Manningham,WR,2010,2012,$1
9587,Trevor,Mario Williams,DL,2012,2013,$17
14932,Charles,Mark Barron,DB,2012,2014,$1
13981,Daniel,Mark Ingram,RB,2011,2013,$25
12482,Jake/Luke,Mark Sanchez,QB,2011,2013,$20
9838,James,Marques Colston,WR,2012,2012,$90
10456,Pat/Quinn,Marshawn Lynch,RB,2010,2012,$12
11295,Syed,Martellus Bennett,TE,2012,2014,$16
15072,,Marvin Jones,WR,FA,2012
10636,Trevor,Mason Crosby,K,2010,2012,$2
14023,Daniel,Mason Foster,LB,2011,2013,$1
8644,Pat/Quinn,Matt Cassel,QB,2010,2012,$15
11443,Schex,Matt Flynn,QB,2012,2014,$5
11278,Syed,Matt Forte,RB,2012,2012,$200
1575,Koci,Matt Hasselbeck,QB,2011,2013,$2
9596,Trevor,Matt Leinart,QB,2012,2012,$1
11128,John,Matt Moore,QB,2012,2012,$1
11122,Daniel,Matt Prater,K,FA,2012,$1
11237,Daniel,Matt Ryan,QB,2011,2013,$85
5615,Charles,Matt Schaub,QB,2011,2013,$85
12483,Charles,Matthew Stafford,QB,2012,2012,$220
9646,James,Maurice Jones-Drew,RB,2012,2012,$197
14926,James,Melvin Ingram,LB,2012,2014,$1
10544,Jake/Luke,Michael Bush,RB,2012,2013,$17
12563,Koci,Michael Crabtree,WR,2012,2014,$22
14908,Syed,Michael Floyd,WR,2012,2014,$16
12436,Mitch,Michael Johnson,DL,2012,2012,$1
5679,Pat/Quinn,Michael Turner,RB,2012,2012,$130
2549,John,Michael Vick,QB,2011,2013,$185
12499,John,Mike Goodson,RB,2011,2013,$1
8461,Mitch,Mike Nugent,K,2012,2012,$1
11658,Daniel,Mike Tolbert,RB,2012,2012,$1
12601,Trevor,Mike Wallace,WR,2012,2012,$130
13489,Koci,Mike Williams (TB),WR,2010,2012,$8
14052,Koci,Mikel Leshoure,RB,2012,2014,$5
10147,Charles,Miles Austin,WR,2012,2012,$70
12581,Daniel,Mohamed Massaquoi,WR,2012,2012,$1
14922,Keyon,Mohamed Sanu,WR,2012,2014,$8
13208,Koci,Montario Hardesty,RB,2012,2014,$6
13264,John,Morgan Burnett,DB,2012,2012,$8
14943,Mitch,Morris Claiborne,DB,2012,2014,$1
14978,Schex,Mychal Kendricks,LB,2012,2014,$1
4529,Schex,Nate Burleson,WR,2012,2012,$17
5590,John,Nate Kaeding,K,2011,2013,$1
9307,Jake/Luke,Nate Washington,WR,2012,2013,$30
13262,Pat/Quinn,NaVorro Bowman,LB,2012,2014,$10
13234,Trevor,Ndamukong Suh,DL,2012,2014,$1
2300,,Neil Rackers,K,FA,2012
4487,Keyon,Nick Barnett,LB,2012,2012,$1
14877,Pat/Quinn,Nick Foles,QB,2012,2014,$2
14921,James,Nick Toon,WR,2012,2012,$2
4514,James,Osi Umenyiora,DL,2012,2013,$2
9684,Daniel,Owen Daniels,TE,2011,2013,$46
13258,Schex,Pat Angerer,LB,2012,2014,$1
13980,Charles,Patrick Peterson,DB,2011,2013,$1
10455,Trevor,Patrick Willis,LB,2012,2012,$41
10478,Schex,Paul Posluszny,LB,2010,2012,$1
12569,Koci,Percy Harvin,WR,2012,2014,$145
13443,Charles,Perry Riley,LB,2012,2012,$9
11461,Jake/Luke,Peyton Hillis,RB,2012,2012,$30
1428,Mitch,Peyton Manning,QB,2012,2013,$150
5529,Jake/Luke,Philip Rivers,QB,2012,2013,$125
11439,Pat/Quinn,Pierre Garcon,WR,2011,2013,$15
10713,John,Pierre Thomas,RB,2012,2012,$24
2139,Daniel,Plaxico Burress,WR,2010,2012,$1
5107,Keyon,Quentin Mikell,DB,FA,2012,$1
14053,Syed,Randall Cobb,WR,2011,2013,$13
15091,,Randy Bullock,K,FA,2012
1433,James,Randy Moss,WR,2011,2013,$5
5596,James,Randy Starks,DL,FA,2012,$2
12503,John,Rashad Jennings,RB,2011,2013,$4
