"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","Score","%D","ADP","GP","FG%","3PTM","FTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*02ym0*","Andrew Wiggins","MIA","SG,G,SF","107","Mitch","30","","36","23/25","79.38","100","103.2","70",".461","99.2","138.7",".757","986.8","349.6","129.7","45.1","39.5","90.2"
"*051oj*","RJ Barrett","TOR","SG,G,SF,PF","108","Joel","25","","37","TBA","78.84","100","95.5","60",".501","93.5","200.8",".672","1221","335.5","225.5","33","22","132"
"*042nf*","Caris LeVert","DET","SG,G,SF","109","Schevin","31","","10","TBA","78.82","85","194.7","65",".423","95.6","131.4",".767","844.3","262.9","323.6","70.8","30.3","111.2"
"*01uyj*","Paul George","PHI","PF","110","Schevin","35","","120","TBA","78.76","100","93.4","45",".471","135.6","146",".897","940","220","144","64","20","84"
"*05ujd*","Neemias Queta","BOS","C","111","FA","26","","1","TBA","78.64","96","153.9","70",".618","4.9","117.2",".705","753.5","622.2","111.8","63.2","87.5","63.2"
"*05uug*","Sam Hauser","BOS","SF,PF","112","FA","27","","1","TBA","78.4","96","174.2","70",".457","219.4","78.4",".842","920.1","315.8","98","49","32.7","38.1"
"*06cdn*","Scoot Henderson","POR","PG,G","113","Justin","21","","28","23/25","78.06","100","117.2","70",".398","103.8","205.3",".840","1055.8","233.3","402.5","58.3","17.5","245"
"*06215*","Bennedict Mathurin","IND","SG,G,SF","114","Mike","23","","6","22/24","77.58","100","110.3","70",".441","106","229.5",".816","1099.6","304.5","152.3","45.1","16.9","129.7"
"*03ad4*","DAngelo Russell","DAL","PG,G","115","Luke","29","","33","TBA","77.5","100","112.8","65",".457","180.6","123.6",".834","1068.2","188.5","350.8","52.4","26.2","125.7"
"*06mjt*","Zaccharie Risacher","ATL","SF","116","Mitch","20","","13","TBA","77.45","100","147.5","70",".462","112.7","117.1",".805","843.9","326.7","147","65.3","27.2","81.7"
"*05uiw*","Isaiah Jackson","IND","C","117","FA","23","","1","TBA","77.45","100","149.8","60",".636","6.7","135.4",".713","720.8","462.5","95.8","66.7","120.8","79.2"
"*04qs1*","Anfernee Simons","BOS","PG,SG,G","118","Li'lSeb","26","","105","23/25","77.43","100","88.5","70",".434","211","204.3",".914","1386.4","229.1","355.6","30.1","6","174.8"
"*03al0*","Aaron Gordon","DEN","PF","119","Charles","30","","30","TBA","77.17","100","120.8","60",".556","35.7","142.6",".657","821.5","387.5","217","46.5","36.2","87.8"
"*06v5k*","VJ Edgecombe","PHI","SG,G","120","FA","20","","1","TBA","77.03","100","148.8","70",".448","120.8","118.1",".812","850.5","273","210","57.8","31.5","99.8"
"*0527l*","Luguentz Dort","OKC","SF,PF","121","Charles","26","HOU Tue 4:30PM","15","23/24","76.98","68","217.3","70",".434","139.8","111.7",".826","778.2","259.4","101.5","62","45.1","67.7"
"*06v5h*","Derik Queen","NO","C","122","FA","20","","1","TBA","76.61","56","237.5","60",".564","27.9","128.7",".731","733.5","490.5","126","45","72","81"
"*05uif*","Jalen Suggs","ORL","PG,G","123","Mitch","24","","35","TBA","76.61","100","108.8","65",".466","141.9","98.4",".752","853.5","209.4","204.2","99.5","41.9","125.7"
"*051ol*","Darius Garland","CLE","PG,G","124","Mike","25","","166","22/24","76.6","100","71.9","65",".442","149.1","143.9",".836","1092","167.6","421.8","80.9","5.8","190.7"
"*04ewu*","Josh Hart","NY","SG,G,SF","125","Jason","30","","15","TBA","76.58","100","67.1","75",".426","80.9","102.8",".775","765.6","656.3","357.3","72.9","21.9","116.7"
"*04qse*","Gary Trent","MIL","SG,G,SF","126","FA","26","","1","TBA","76.29","87","198.1","70",".436","185","87.4",".812","1026.3","203","129.7","78.9","11.3","45.1"
"*05uih*","Jonathan Kuminga","GS","PF,C","127","Joel","23","@LAL Tue 7:00PM","50","TBA","76.28","100","133.7","60",".538","43.2","180.5",".752","1012.5","297","135","45","31.5","103.5"
"*06mkg*","Kyshawn George","WAS","SG,G,SF","128","Mike","21","","1","TBA","76.27","96","156.7","70",".462","112.7","117.1",".805","843.9","332.1","157.9","59.9","21.8","76.2"
"*051oh*","Zion Williamson","NO","SF,PF","129","Charles","25","","80","TBA","76.16","100","42.7","50",".576","4.3","240.3",".707","1115.1","288.5","241.1","47.4","34.4","133.5"
"*06217*","Dyson Daniels","ATL","SG,G,SF","130","Joel","22","","1","22/24","76.09","100","42.8","75",".458","80.7","78",".643","693.3","420","286.7","153.3","40","106.7"
"*051ok*","DeAndre Hunter","CLE","SF,PF","131","RMK","27","","3","TBA","76.06","100","140.9","70",".465","142.1","186.7",".828","1050.8","255.9","108.9","43.6","16.3","98"
"*04ex8*","Dillon Brooks","PHO","SG,G,SF","132","pat","29","","1","TBA","76.06","78","208.7","75",".425","141.4","134.3",".838","955.8","245.4","129.2","64.6","12.9","90.4"
"*05qu0*","Jaden McDaniels","MIN","SF,PF","133","Charles","25","","19","22/24","75.94","100","105.9","75",".488","95.6","87.8",".716","871.9","264.8","109.8","71","45.2","96.9"
"*049kd*","Deandre Ayton","LAL","C","134","Joel","27","GS Tue 7:00PM","48","TBA","75.92","100","72.3","65",".581","3.5","105.2",".828","1132.4","722.2","104","63.6","52","115.6"
"*051pb*","Nicolas Claxton","BKN","C","135","Luke","26","","40","TBA","75.77","100","102.9","70",".627","2.8","106",".554","806.4","676.7","141","45.1","141","84.6"
"*04qrl*","Wendell Carter","ORL","C","136","Charles","26","","12","TBA","75.63","100","159.6","65",".533","74.6","118.3",".691","746.4","483.5","126.8","42.3","37.6","84.5"
"*042nt*","Ivica Zubac","LAC","C","137","Mike","28","","15","TBA","75.62","100","40.7","75",".640","1.2","147",".752","904.2","729.2","110.8","29.2","93.3","93.3"
"*03aq2*","Jerami Grant","POR","SF,PF","138","Jason","31","","74","23/24","75.46","90","187.4","50",".451","93","229.2",".822","999.2","169.6","137.5","41.3","32.1","105.4"
"*06v5y*","Dylan Harper","SA","SG,G","139","FA","19","","1","TBA","75.44","100","156.9","65",".457","113.8","121.3",".842","864.5","222.4","298.3","65.7","20.2","106.2"
"*0621c*","Jalen Duren","DET","C","140","pat","21","","4","22/24","75.33","100","56.7","70",".615","2.2","160.1",".793","920.1","784","152.4","38.1","54.4","141.6"
"*06cac*","Cason Wallace","OKC","PG,SG,G,SF","141","Charles","21","HOU Tue 4:30PM","1","23/25","75.09","100","143.9","70",".487","120.7","70.5",".776","744.3","225.6","152.3","90.2","45.1","62"
"*042n1*","Brandon Ingram","TOR","SF,PF","142","Jason","28","","135","22/24","74.79","100","80","50",".488","64.2","173.1",".798","955.8","241.1","271.3","38.8","30.1","120.6"
"*05qt1*","Payton Pritchard","BOS","PG,G","143","pat","27","","1","TBA","74.74","100","70.2","75",".461","177.5","86.3",".842","981.3","312.5","343.8","50","6.3","75"
"*051p9*","Keldon Johnson","SA","SG,G,SF","144","Mike","25","","15","TBA","74.73","61","231.7","70",".454","109.9","140",".791","909","320.8","160.4","43.8","14.6","87.5"
"*04ex6*","Isaiah Hartenstein","OKC","C","145","Mitch","27","HOU Tue 4:30PM","40","TBA","74.67","100","81.9","65",".645","1.9","106.1",".731","553.9","549.3","178.4","79.8","75.1","79.8"
"*03nwn*","Bobby Portis","MIL","PF,C","146","FA","30","","1","TBA","74.62","100","117.2","65",".501","80.8","87.1",".788","916.3","496.5","85.8","54.2","27.1","67.7"
